Target Distance: 50, Step Size: 2
76: (x, y) = (7.14983, -2.67374)
77: (x, y) = (5.28005, -3.38362)
78: (x, y) = (7.03946, -4.33466)
79: (x, y) = (8.2646, -5.91549)
80: (x, y) = (8.14965, -7.91219)
81: (x, y) = (6.65354, -9.23946)
82: (x, y) = (4.68479, -9.59161)
83: (x, y) = (6.4688, -8.68756)
84: (x, y) = (8.44348, -9.00474)
85: (x, y) = (8.06528, -10.9687)
86: (x, y) = (9.73373, -9.8658)
87: (x, y) = (9.79562, -7.86676)
88: (x, y) = (11.7644, -8.21885)
89: (x, y) = (12.5966, -6.40023)
90: (x, y) = (11.1005, -7.7275)
91: (x, y) = (11.5996, -5.79077)
92: (x, y) = (13.0478, -7.17012)
93: (x, y) = (11.1275, -7.72901)
94: (x, y) = (11.0656, -5.72997)
95: (x, y) = (11.8817, -3.90408)
96: (x, y) = (12.8093, -2.1322)
97: (x, y) = (10.889, -2.69109)
98: (x, y) = (12.8714, -2.9558)
99: (x, y) = (10.9954, -2.26255)
100: (x, y) = (12.8714, -1.56926)
101: (x, y) = (10.8752, -1.6931)
102: (x, y) = (12.3714, -3.02032)
103: (x, y) = (14.3369, -2.65076)
104: (x, y) = (14.4873, -4.6451)
105: (x, y) = (12.6052, -5.32176)
106: (x, y) = (11.2846, -6.82378)
107: (x, y) = (9.76525, -5.5232)
108: (x, y) = (10.8901, -3.86951)
109: (x, y) = (10.0258, -2.06594)
110: (x, y) = (10.4905, -0.120675)
111: (x, y) = (9.56281, 1.65117)
112: (x, y) = (11.3051, 0.669131)
113: (x, y) = (13.2524, 0.213027)
114: (x, y) = (12.5343, 2.07965)
115: (x, y) = (10.5596, 1.7624)
116: (x, y) = (11.2445, 3.64146)
117: (x, y) = (9.79632, 2.26207)
118: (x, y) = (9.50532, 4.24078)
119: (x, y) = (10.688, 5.85362)
120: (x, y) = (9.19189, 4.52635)
121: (x, y) = (11.1906, 4.59715)
122: (x, y) = (12.6017, 6.01451)
123: (x, y) = (11.8179, 7.85454)
124: (x, y) = (13.3257, 9.16851)
125: (x, y) = (11.7836, 10.442)
126: (x, y) = (10.2992, 11.7824)
127: (x, y) = (10.1312, 13.7753)
128: (x, y) = (9.11084, 15.4954)
129: (x, y) = (7.4137, 16.5536)
130: (x, y) = (9.40423, 16.3592)
131: (x, y) = (10.9351, 15.0722)
132: (x, y) = (12.9197, 15.3194)
133: (x, y) = (12.4549, 17.2646)
134: (x, y) = (10.6552, 18.1369)
135: (x, y) = (12.4472, 17.2487)
136: (x, y) = (13.7678, 15.7467)
137: (x, y) = (14.0062, 17.7325)
138: (x, y) = (13.0785, 19.5043)
139: (x, y) = (11.4501, 20.6655)
140: (x, y) = (9.46542, 20.9127)
141: (x, y) = (11.2332, 21.8482)
142: (x, y) = (9.33942, 21.2049)
143: (x, y) = (9.36591, 23.2047)
144: (x, y) = (10.1983, 21.3862)
145: (x, y) = (8.95917, 22.9561)
146: (x, y) = (9.83945, 21.1602)
147: (x, y) = (11.3703, 19.8732)
148: (x, y) = (10.7522, 21.7753)
149: (x, y) = (11.6955, 20.0117)
150: (x, y) = (10.6149, 21.6946)
151: (x, y) = (9.51943, 23.3679)
152: (x, y) = (11.127, 24.5578)
153: (x, y) = (11.8944, 22.7109)
154: (x, y) = (10.2764, 21.5353)
155: (x, y) = (12.2277, 21.9742)
156: (x, y) = (12.6579, 23.9274)
157: (x, y) = (11.6528, 22.1983)
158: (x, y) = (10.6939, 23.9534)
159: (x, y) = (9.81367, 22.1576)
160: (x, y) = (7.84492, 21.8054)
161: (x, y) = (9.81048, 22.175)
162: (x, y) = (8.33809, 20.8214)
163: (x, y) = (6.7627, 19.5893)
164: (x, y) = (4.91922, 18.8137)
165: (x, y) = (4.87503, 16.8142)
166: (x, y) = (5.99988, 18.4679)
167: (x, y) = (7.79185, 17.5797)
168: (x, y) = (8.57557, 19.4197)
169: (x, y) = (10.2633, 18.3466)
170: (x, y) = (8.31202, 18.7854)
171: (x, y) = (7.59387, 20.6521)
172: (x, y) = (9.25252, 19.5345)
173: (x, y) = (11.2299, 19.8343)
174: (x, y) = (13.0059, 18.9145)
175: (x, y) = (12.5068, 20.8512)
176: (x, y) = (14.2132, 19.8081)
177: (x, y) = (16.2104, 19.9143)
178: (x, y) = (15.5588, 21.8052)
179: (x, y) = (13.9618, 20.6011)
180: (x, y) = (15.6303, 21.704)
181: (x, y) = (14.8303, 19.8709)
182: (x, y) = (13.008, 20.6952)
183: (x, y) = (11.0979, 21.2879)
184: (x, y) = (10.5136, 23.2006)
185: (x, y) = (11.9495, 24.5928)
186: (x, y) = (13.4099, 25.9593)
187: (x, y) = (14.011, 24.0518)
188: (x, y) = (13.393, 25.9539)
189: (x, y) = (12.1679, 24.373)
190: (x, y) = (11.807, 26.3402)
191: (x, y) = (11.122, 28.2192)
192: (x, y) = (9.12705, 28.3607)
193: (x, y) = (7.20184, 28.9025)
194: (x, y) = (5.97675, 27.3216)
195: (x, y) = (6.00324, 29.3215)
196: (x, y) = (7.78725, 30.2255)
197: (x, y) = (6.05371, 31.2229)
198: (x, y) = (4.33811, 32.2509)
199: (x, y) = (3.85619, 30.3098)
200: (x, y) = (1.86003, 30.186)
201: (x, y) = (3.84681, 29.9564)
202: (x, y) = (5.5977, 30.9231)
203: (x, y) = (3.60154, 30.7992)
204: (x, y) = (2.30765, 32.3243)
205: (x, y) = (3.25096, 30.5607)
206: (x, y) = (5.0875, 31.3526)
207: (x, y) = (3.32812, 30.4015)
208: (x, y) = (4.34847, 32.1217)
209: (x, y) = (6.19198, 31.3461)
210: (x, y) = (4.92529, 32.8938)
211: (x, y) = (5.82139, 34.6819)
212: (x, y) = (4.26805, 33.422)
213: (x, y) = (5.06808, 31.589)
214: (x, y) = (7.06526, 31.6952)
215: (x, y) = (8.10085, 29.9842)
216: (x, y) = (9.33989, 31.5541)
217: (x, y) = (7.58051, 30.603)
218: (x, y) = (5.78857, 29.7148)
219: (x, y) = (5.32379, 31.6601)
220: (x, y) = (7.27504, 32.099)
221: (x, y) = (5.71058, 33.3449)
222: (x, y) = (5.79022, 31.3465)
223: (x, y) = (5.74603, 29.347)
224: (x, y) = (6.12429, 27.3831)
225: (x, y) = (8.11482, 27.1888)
226: (x, y) = (7.68455, 29.1419)
227: (x, y) = (9.68259, 29.0535)
228: (x, y) = (11.3006, 27.878)
229: (x, y) = (11.9018, 25.9705)
230: (x, y) = (13.2092, 24.4569)
231: (x, y) = (13.7254, 22.5247)
232: (x, y) = (13.5399, 20.5333)
233: (x, y) = (15.3901, 21.2926)
234: (x, y) = (16.8626, 19.9391)
235: (x, y) = (17.1885, 21.9123)
236: (x, y) = (16.6212, 19.9945)
237: (x, y) = (17.4374, 21.8204)
238: (x, y) = (15.7689, 22.9232)
239: (x, y) = (16.4205, 24.814)
240: (x, y) = (16.1645, 22.8305)
241: (x, y) = (14.8307, 24.3207)
242: (x, y) = (12.8483, 24.056)
243: (x, y) = (11.0485, 24.9282)
244: (x, y) = (9.96796, 23.2453)
245: (x, y) = (11.8728, 22.6357)
246: (x, y) = (13.7776, 22.0261)
247: (x, y) = (12.2933, 23.3665)
248: (x, y) = (14.292, 23.4373)
249: (x, y) = (12.6334, 22.3198)
250: (x, y) = (12.0831, 20.397)
251: (x, y) = (10.1486, 20.9046)
252: (x, y) = (11.3737, 19.3238)
253: (x, y) = (11.0304, 17.3535)
254: (x, y) = (11.5977, 15.4356)
255: (x, y) = (11.9236, 17.4089)
256: (x, y) = (10.199, 16.3961)
257: (x, y) = (10.5249, 18.3694)
258: (x, y) = (9.11383, 19.7867)
259: (x, y) = (7.90272, 21.3783)
260: (x, y) = (7.00658, 23.1663)
261: (x, y) = (7.41954, 21.2094)
262: (x, y) = (5.69493, 20.1966)
263: (x, y) = (5.47416, 18.2088)
264: (x, y) = (7.38431, 18.8016)
265: (x, y) = (5.5083, 19.4948)
266: (x, y) = (7.33053, 20.3191)
267: (x, y) = (5.4368, 19.6759)
268: (x, y) = (6.95613, 20.9765)
269: (x, y) = (8.68964, 21.974)
270: (x, y) = (8.99814, 19.9979)
271: (x, y) = (9.09541, 21.9955)
272: (x, y) = (9.73026, 20.099)
273: (x, y) = (11.6602, 19.5742)
274: (x, y) = (13.6426, 19.3095)
275: (x, y) = (13.2992, 17.3392)
276: (x, y) = (14.807, 18.6532)
277: (x, y) = (16.7958, 18.8652)
278: (x, y) = (15.2204, 17.6331)
279: (x, y) = (17.2091, 17.8451)
280: (x, y) = (18.462, 16.2862)
281: (x, y) = (19.2621, 14.4532)
282: (x, y) = (18.9187, 12.4829)
283: (x, y) = (20.3044, 13.925)
284: (x, y) = (19.4721, 15.7436)
285: (x, y) = (18.0362, 17.1357)
286: (x, y) = (19.6848, 18.268)
287: (x, y) = (21.6399, 17.8464)
288: (x, y) = (23.2043, 19.0924)
289: (x, y) = (23.7376, 21.02)
290: (x, y) = (25.6765, 20.5295)
291: (x, y) = (23.6765, 20.5294)
292: (x, y) = (22.0903, 21.7475)
293: (x, y) = (23.7083, 20.572)
294: (x, y) = (25.6771, 20.2199)
295: (x, y) = (24.4242, 18.661)
296: (x, y) = (26.2162, 17.7728)
297: (x, y) = (25.1957, 19.4929)
298: (x, y) = (26.782, 20.711)
299: (x, y) = (24.9317, 21.4703)
300: (x, y) = (22.9329, 21.541)
301: (x, y) = (20.9424, 21.3466)
302: (x, y) = (20.7392, 23.3362)
303: (x, y) = (18.9551, 24.2402)
304: (x, y) = (20.9024, 23.7841)
305: (x, y) = (22.8575, 23.3625)
306: (x, y) = (24.6797, 24.1868)
307: (x, y) = (24.7062, 26.1867)
308: (x, y) = (23.0778, 27.3478)
309: (x, y) = (23.7794, 25.4749)
310: (x, y) = (25.7345, 25.0534)
311: (x, y) = (23.7477, 24.8237)
312: (x, y) = (22.0792, 25.9265)
313: (x, y) = (22.3001, 23.9388)
314: (x, y) = (24.2847, 24.186)
315: (x, y) = (23.3886, 25.974)
316: (x, y) = (25.3574, 25.6219)
317: (x, y) = (24.6063, 27.4755)
318: (x, y) = (22.6063, 27.4754)
319: (x, y) = (23.9001, 29.0006)
320: (x, y) = (24.3648, 30.9458)
321: (x, y) = (22.3652, 30.9812)
322: (x, y) = (20.6405, 29.9684)
323: (x, y) = (20.2449, 31.9289)
324: (x, y) = (19.4775, 30.0819)
325: (x, y) = (18.2806, 28.4796)
326: (x, y) = (19.9777, 29.5378)
327: (x, y) = (19.8097, 31.5308)
328: (x, y) = (19.8009, 29.5308)
329: (x, y) = (21.5769, 28.611)
330: (x, y) = (23.5569, 28.3289)
331: (x, y) = (22.4762, 30.0118)
332: (x, y) = (24.445, 29.6597)
333: (x, y) = (26.3444, 30.2861)
334: (x, y) = (26.7226, 28.3222)
335: (x, y) = (28.6615, 27.8317)
336: (x, y) = (26.9551, 26.7886)
337: (x, y) = (25.0039, 27.2274)
338: (x, y) = (27.0039, 27.2274)
339: (x, y) = (25.2198, 28.1314)
340: (x, y) = (25.7018, 26.1904)
341: (x, y) = (23.9509, 27.157)
342: (x, y) = (24.2943, 25.1867)
343: (x, y) = (25.3147, 26.9068)
344: (x, y) = (23.3175, 27.0129)
345: (x, y) = (22.1781, 25.3692)
346: (x, y) = (24.1293, 25.8081)
347: (x, y) = (25.2395, 24.1446)
348: (x, y) = (23.3192, 23.5857)
349: (x, y) = (21.3893, 23.0609)
350: (x, y) = (20.6547, 21.2007)
351: (x, y) = (22.5936, 20.7102)
352: (x, y) = (21.1701, 19.3054)
353: (x, y) = (19.6977, 17.9518)
354: (x, y) = (20.7634, 16.2594)
355: (x, y) = (18.8936, 15.5495)
356: (x, y) = (19.8988, 13.8205)
357: (x, y) = (21.8787, 14.1028)
358: (x, y) = (21.4485, 16.0559)
359: (x, y) = (23.4352, 15.8264)
360: (x, y) = (22.3398, 17.4997)
361: (x, y) = (23.2201, 15.7038)
362: (x, y) = (23.6503, 17.657)
363: (x, y) = (21.6679, 17.3922)
364: (x, y) = (23.6678, 17.3746)
365: (x, y) = (25.6396, 17.7093)
366: (x, y) = (23.8101, 16.9012)
367: (x, y) = (23.311, 18.8379)
368: (x, y) = (22.511, 17.0049)
369: (x, y) = (21.3861, 18.6585)
370: (x, y) = (22.1371, 20.5121)
371: (x, y) = (24.0761, 20.0216)
372: (x, y) = (23.8905, 18.0303)
373: (x, y) = (21.9653, 18.5721)
374: (x, y) = (21.8326, 20.5677)
375: (x, y) = (23.001, 18.9445)
376: (x, y) = (24.8513, 19.7037)
377: (x, y) = (22.8591, 19.8805)
378: (x, y) = (22.4117, 17.9312)
379: (x, y) = (21.1588, 16.3722)
380: (x, y) = (22.466, 17.8859)
381: (x, y) = (23.7866, 16.3839)
382: (x, y) = (23.0029, 18.2239)
383: (x, y) = (24.3499, 16.7456)
384: (x, y) = (24.4649, 14.7489)
385: (x, y) = (22.6146, 15.5081)
386: (x, y) = (24.374, 14.5571)
387: (x, y) = (23.2935, 12.8741)
388: (x, y) = (23.9784, 14.7531)
389: (x, y) = (25.972, 14.594)
390: (x, y) = (25.9101, 16.5931)
391: (x, y) = (27.3086, 15.1633)
392: (x, y) = (25.8726, 16.5555)
393: (x, y) = (27.5213, 17.6877)
394: (x, y) = (27.0565, 19.6329)
395: (x, y) = (28.4676, 21.0503)
396: (x, y) = (27.1337, 22.5405)
397: (x, y) = (28.984, 23.2998)
398: (x, y) = (27.3254, 22.1822)
399: (x, y) = (28.8675, 23.4557)
400: (x, y) = (28.9825, 21.459)
401: (x, y) = (28.6915, 23.4377)
402: (x, y) = (30.5852, 22.7946)
403: (x, y) = (28.6859, 23.421)
404: (x, y) = (27.7582, 25.1928)
405: (x, y) = (27.6609, 27.1904)
406: (x, y) = (27.7051, 25.1909)
407: (x, y) = (26.8728, 27.0095)
408: (x, y) = (24.9383, 27.5172)
409: (x, y) = (24.388, 25.5944)
410: (x, y) = (25.1717, 27.4344)
411: (x, y) = (23.2372, 27.9421)
412: (x, y) = (24.4342, 26.3398)
413: (x, y) = (22.4869, 25.8836)
414: (x, y) = (21.4514, 24.1726)
415: (x, y) = (23.0047, 22.9128)
416: (x, y) = (25.0047, 22.9128)
417: (x, y) = (25.6396, 21.0163)
418: (x, y) = (26.1043, 22.9615)
419: (x, y) = (24.8932, 24.5531)
420: (x, y) = (23.0172, 25.2464)
421: (x, y) = (24.4157, 23.8166)
422: (x, y) = (26.4154, 23.852)
423: (x, y) = (28.054, 22.7053)
424: (x, y) = (29.0284, 20.9587)
425: (x, y) = (30.0335, 19.2296)
426: (x, y) = (30.801, 17.3827)
427: (x, y) = (30.8629, 19.3818)
428: (x, y) = (30.5369, 21.355)
429: (x, y) = (28.7074, 20.5469)
430: (x, y) = (30.4139, 19.5038)
431: (x, y) = (28.4886, 20.0456)
432: (x, y) = (29.6856, 18.4434)
433: (x, y) = (30.7363, 20.1452)
434: (x, y) = (30.9746, 22.1309)
435: (x, y) = (30.0157, 23.8861)
436: (x, y) = (28.965, 25.5878)
437: (x, y) = (30.2857, 24.0859)
438: (x, y) = (31.8827, 22.8819)
439: (x, y) = (33.5007, 21.7063)
440: (x, y) = (34.3968, 23.4943)
441: (x, y) = (34.9472, 21.5716)
442: (x, y) = (35.5145, 19.6537)
443: (x, y) = (34.434, 17.9707)
444: (x, y) = (36.432, 17.8823)
445: (x, y) = (34.6401, 16.9941)
446: (x, y) = (35.0356, 18.9546)
447: (x, y) = (33.1104, 19.4964)
448: (x, y) = (32.802, 17.5203)
449: (x, y) = (34.3882, 18.7385)
450: (x, y) = (34.6442, 16.7549)
451: (x, y) = (36.538, 16.1117)
452: (x, y) = (38.4967, 16.516)
453: (x, y) = (39.9326, 17.9082)
454: (x, y) = (41.8877, 17.4866)
455: (x, y) = (43.7978, 18.0794)
456: (x, y) = (45.5572, 17.1283)
457: (x, y) = (47.1753, 15.9528)
458: (x, y) = (45.895, 14.4163)
459: (x, y) = (44.9831, 12.6362)
460: (x, y) = (45.3961, 10.6793)
461: (x, y) = (44.5798, 12.5052)
462: (x, y) = (43.0605, 13.8058)
463: (x, y) = (44.6138, 12.546)
464: (x, y) = (42.709, 11.9364)
465: (x, y) = (43.327, 13.8385)
466: (x, y) = (45.184, 13.0957)
467: (x, y) = (46.0001, 14.9216)
468: (x, y) = (44.6401, 16.388)
469: (x, y) = (46.455, 17.2283)
470: (x, y) = (45.9216, 19.1559)
471: (x, y) = (47.9215, 19.1382)
After 471 steps, the subject has the following location:
(x, y) = (47.9215, 19.1382)
 or
(m, a) = (51.6018, 21.7701)
Average outward distance per step = 0.109558
=====================================================
Target Distance: 50, Step Size: 2
0: (x, y) = (0, 0)
1: (x, y) = (-1.99499, 0.141444)
2: (x, y) = (-1.87999, -1.85525)
3: (x, y) = (0.0544988, -1.34754)
4: (x, y) = (-1.71326, -0.412104)
5: (x, y) = (-3.64776, 0.0955424)
6: (x, y) = (-1.71327, 0.603247)
7: (x, y) = (-0.0448247, 1.7061)
8: (x, y) = (1.86532, 2.29884)
9: (x, y) = (3.86149, 2.17506)
10: (x, y) = (4.67765, 4.00095)
11: (x, y) = (4.12733, 2.07815)
12: (x, y) = (6.12701, 2.11356)
13: (x, y) = (5.78364, 0.143254)
14: (x, y) = (6.2999, -1.78897)
15: (x, y) = (5.54882, 0.0646484)
16: (x, y) = (3.92043, 1.22582)
17: (x, y) = (4.83236, -0.55417)
18: (x, y) = (6.79107, -0.14987)
19: (x, y) = (8.7533, -0.536757)
20: (x, y) = (6.85956, -1.18)
21: (x, y) = (8.84634, -1.40957)
22: (x, y) = (9.34542, 0.527157)
23: (x, y) = (9.58378, 2.5129)
24: (x, y) = (8.47361, 0.849319)
25: (x, y) = (9.61311, -0.794316)
26: (x, y) = (9.26973, -2.76462)
27: (x, y) = (10.213, -4.52819)
28: (x, y) = (10.2749, -2.52915)
29: (x, y) = (12.2181, -2.05576)
30: (x, y) = (13.9775, -3.00681)
31: (x, y) = (12.4467, -4.29393)
32: (x, y) = (14.3227, -3.60064)
33: (x, y) = (15.7084, -2.15852)
34: (x, y) = (17.7006, -1.98172)
35: (x, y) = (19.1968, -3.30894)
36: (x, y) = (17.7732, -4.71376)
37: (x, y) = (19.7725, -4.7668)
38: (x, y) = (17.9027, -5.47668)
39: (x, y) = (18.9079, -7.20575)
40: (x, y) = (17.8572, -5.50398)
41: (x, y) = (19.7007, -6.27954)
42: (x, y) = (20.2511, -8.20232)
43: (x, y) = (22.2311, -8.4845)
44: (x, y) = (24.1131, -9.16111)
45: (x, y) = (22.203, -8.56843)
46: (x, y) = (20.6836, -7.26785)
47: (x, y) = (21.6887, -8.99692)
48: (x, y) = (22.4725, -7.15687)
49: (x, y) = (24.3019, -7.96495)
50: (x, y) = (25.4989, -9.56722)
51: (x, y) = (26.8589, -8.1008)
52: (x, y) = (27.8177, -6.34562)
53: (x, y) = (28.7453, -4.57374)
54: (x, y) = (30.2296, -3.23328)
55: (x, y) = (31.4407, -1.64163)
56: (x, y) = (31.485, -3.64114)
57: (x, y) = (32.7788, -2.11603)
58: (x, y) = (32.3832, -0.155546)
59: (x, y) = (34.355, 0.179166)
60: (x, y) = (32.3682, -0.050464)
61: (x, y) = (30.4922, 0.642778)
62: (x, y) = (28.4923, 0.625076)
63: (x, y) = (29.3406, -1.18608)
64: (x, y) = (29.2257, -3.18278)
65: (x, y) = (31.2229, -3.07661)
66: (x, y) = (31.5837, -1.10942)
67: (x, y) = (29.5887, -0.967977)
68: (x, y) = (31.3481, -1.91902)
69: (x, y) = (30.6465, -3.79195)
70: (x, y) = (32.1774, -5.07902)
71: (x, y) = (33.7195, -3.8055)
72: (x, y) = (34.6628, -5.56907)
73: (x, y) = (35.5589, -3.78105)
74: (x, y) = (36.7128, -2.14753)
75: (x, y) = (37.0736, -0.180345)
76: (x, y) = (35.8207, -1.73928)
77: (x, y) = (34.29, -3.0264)
78: (x, y) = (34.8403, -4.94918)
79: (x, y) = (33.5465, -3.4241)
80: (x, y) = (31.5952, -2.98525)
81: (x, y) = (33.4387, -3.76081)
82: (x, y) = (31.8207, -4.9364)
83: (x, y) = (33.5178, -3.87819)
84: (x, y) = (35.104, -2.66005)
85: (x, y) = (37.0977, -2.81915)
86: (x, y) = (36.2175, -4.61503)
87: (x, y) = (38.1378, -5.17386)
88: (x, y) = (38.8394, -7.04676)
89: (x, y) = (37.0028, -6.25491)
90: (x, y) = (37.0647, -4.25587)
91: (x, y) = (37.1444, -6.25428)
92: (x, y) = (38.1799, -7.96529)
93: (x, y) = (37.1293, -6.26352)
94: (x, y) = (36.699, -4.31035)
95: (x, y) = (37.5633, -2.50675)
96: (x, y) = (39.457, -3.14993)
97: (x, y) = (40.6397, -1.5371)
98: (x, y) = (38.8975, -2.51919)
99: (x, y) = (40.3818, -1.17873)
100: (x, y) = (40.426, -3.17824)
101: (x, y) = (40.258, -1.18531)
102: (x, y) = (41.8864, -0.024089)
103: (x, y) = (40.0044, -0.700756)
104: (x, y) = (39.454, -2.62355)
105: (x, y) = (41.1511, -1.56533)
106: (x, y) = (39.7276, -2.97015)
107: (x, y) = (40.5599, -4.78872)
108: (x, y) = (42.0677, -3.47475)
109: (x, y) = (41.3496, -1.60813)
110: (x, y) = (42.2139, 0.195476)
111: (x, y) = (43.4942, -1.34099)
112: (x, y) = (45.4935, -1.39404)
113: (x, y) = (44.7589, -3.25425)
114: (x, y) = (42.9996, -4.20535)
115: (x, y) = (43.6679, -6.09038)
116: (x, y) = (45.4356, -5.15489)
117: (x, y) = (46.3632, -3.38301)
118: (x, y) = (44.438, -2.8412)
119: (x, y) = (45.8739, -1.44904)
120: (x, y) = (44.7638, -3.11262)
121: (x, y) = (45.0897, -1.13936)
122: (x, y) = (46.9777, -0.479375)
123: (x, y) = (46.0033, -2.226)
124: (x, y) = (46.4681, -0.280739)
125: (x, y) = (45.9347, 1.64684)
126: (x, y) = (47.6224, 0.57369)
127: (x, y) = (47.384, 2.55943)
128: (x, y) = (46.9192, 4.50467)
129: (x, y) = (45.7652, 6.13816)
130: (x, y) = (44.6847, 4.45519)
131: (x, y) = (44.7643, 2.45677)
132: (x, y) = (42.7987, 2.82628)
133: (x, y) = (41.5736, 1.24541)
134: (x, y) = (39.6305, 1.71873)
135: (x, y) = (39.6217, -0.281249)
136: (x, y) = (41.521, 0.345209)
137: (x, y) = (43.5078, 0.115639)
138: (x, y) = (45.4126, -0.493924)
139: (x, y) = (43.5429, -1.2038)
140: (x, y) = (45.3931, -0.44453)
141: (x, y) = (46.9901, -1.64853)
142: (x, y) = (47.3857, 0.311962)
143: (x, y) = (46.2755, -1.35162)
144: (x, y) = (45.5244, 0.501993)
145: (x, y) = (47.258, 1.49947)
146: (x, y) = (48.6565, 0.0697187)
147: (x, y) = (49.8391, 1.68256)
148: (x, y) = (48.7142, 3.33621)
149: (x, y) = (47.4476, 4.88396)
150: (x, y) = (49.023, 3.65188)
151: (x, y) = (50.9223, 4.27833)
After 151 steps, the subject has the following location:
(x, y) = (50.9223, 4.27833)
 or
(m, a) = (51.1017, 4.80253)
Average outward distance per step = 0.338422
=====================================================
